city_id,city,state_id
4144,Folsom ,106
4145,Alhambra,106
4146,DEVON,119
4147,PINE BROOK,117
4148,Bagdad,121
4149,Playa Vista,106
4150,MANASSAS,108
4151,Conyers,101
4152,Syosset,113
4153,METTAWA,115
4154,Smyrna,101
4155,PLAINSBORO,117
4156,Keller,107
4157,West Burlington,129
4158, PHOENIX,121
4159,Danbury,109
4160,SANDY SPRINGS,101
4161,Rockly Hill,109
4162,Elkridge,110
4163,Henrico,108
4164,Dover,137
4165,BENTONVILLE,142
4166,Covina,106
4167,Bangor,147
4168,CRYSTAL CITY,107
4169,Eugene,130
4170,Snowmass Village,132
4171,Bloomington,135
4172,Port Angeles,114
4173,Richland,114
4174,Manhattan,113
4175,Charlton,103
4176,PORT WASHINGTON,113
4177,JACKSONVILLE,118
4178,Pocaello,126
4179,Idaho Falls,126
4180,Spartanburg,134
4181,Euless,107
4182,Knoxville ,105
4183,Oviedo,118
4184,Des Plaines,115
4185,Warrington,119
4186,Wilmington,120
4187,Media,119
4188,Delanco,117
4189,White Bear Lake,104
4190,CHESTNUT RIDGE,113
4191,,107
4192,Hendersonville,105
4193,McDonough,101
4194,PISCATAWAY TOWNSHIP,117
4195,Weymouth,103
4196,Northfield,115
4197,Wilsonville,130
4198,San Francsico,106
4199,Milford,102
4200,Santa Cruz,106
4201,Carol Stream,115
4202,GREAT NECK,113
4203,Edgewood,113
4204,BOTHELL,114
4205,Washington D.C.,138
4206,Mountain House,106
4207,Kendall,118
4208,Tualatin,130
4209,Harvey,115
4210,White Plains ,113
4211,FARMINGTON,102
4212, Edison ,117
